Preprocessing Method,Num of Features,Encoding Method,Convolutional Layer Architecture,Num of Params,Pooling Architecture,Num of Params,Convs per Layer,Special Pooling,Pooling Direction,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Confusion Matrix
PCA,8,Angle Embedding,1,3,1,3,1,No,Top half,tensor(0.8022),0.8676056338028169,0.9130434782608695,0.889744824265768,0.47364502680166765,0.8681547571831832,"[[5, 141], [88, 924]]"
PCA,8,Angle Embedding,1,3,1,3,1,No,Top half,tensor(0.8178),0.8684452621895125,0.932806324110672,0.8994759409242497,0.4766771346580757,0.8688131670839306,"[[3, 143], [68, 944]]"
PCA,8,Angle Embedding,1,3,1,3,1,No,Top half,tensor(0.8221),0.8690476190476191,0.9377470355731226,0.9020912547528517,0.479147490389301,0.8693509736115053,"[[3, 143], [63, 949]]"
PCA,8,Angle Embedding,1,3,1,3,2,No,Top half,tensor(0.8031),0.8670411985018727,0.9150197628458498,0.8903846153846154,0.4712085115599112,0.8676258076511449,"[[4, 142], [86, 926]]"
PCA,8,Angle Embedding,1,3,1,3,2,No,Top half,tensor(0.8178),0.8677685950413223,0.9337944664031621,0.8995716325559259,0.47374654827007423,0.8681758886792594,"[[2, 144], [67, 945]]"
PCA,8,Angle Embedding,1,3,1,3,2,No,Top half,tensor(0.8212),0.868252516010979,0.9377470355731226,0.9016627078384799,0.47572283285505446,0.8686053680959208,"[[2, 144], [63, 949]]"
PCA,8,Angle Embedding,1,3,2,9,1,No,Top half,tensor(0.8221),0.8697247706422019,0.9367588932806324,0.9019980970504281,0.4820780767773025,0.8699901165416376,"[[4, 142], [64, 948]]"
PCA,8,Angle Embedding,1,3,2,9,1,No,Top half,tensor(0.8221),0.8697247706422019,0.9367588932806324,0.9019980970504281,0.4820780767773025,0.8699901165416376,"[[4, 142], [64, 948]]"
PCA,8,Angle Embedding,1,3,2,9,1,No,Top half,tensor(0.8247),0.8707607699358387,0.9387351778656127,0.903471231573942,0.4864908766040392,0.8709543534634612,"[[5, 141], [62, 950]]"
PCA,8,Angle Embedding,1,3,2,9,2,No,Top half,tensor(0.8152),0.8701298701298701,0.9268774703557312,0.8976076555023923,0.4839866803833451,0.8704070544267968,"[[6, 140], [74, 938]]"
PCA,8,Angle Embedding,1,3,2,9,2,No,Top half,tensor(0.8204),0.8694852941176471,0.9347826086956522,0.900952380952381,0.4810899344848124,0.8697745501106503,"[[4, 142], [66, 946]]"
PCA,8,Angle Embedding,1,3,2,9,2,No,Top half,tensor(0.8247),0.8700823421774931,0.9397233201581028,0.9035629453681709,0.4835602902160377,0.8703136967629395,"[[4, 142], [61, 951]]"
PCA,8,Angle Embedding,1,3,3,2,1,No,Top half,tensor(0.8256),0.8763940520446096,0.9318181818181818,0.9032567049808428,0.5104296388542964,0.8762254043604565,"[[13, 133], [69, 943]]"
PCA,8,Angle Embedding,1,3,3,2,1,No,Top half,tensor(0.8264),0.8723599632690542,0.9387351778656127,0.9043312708234175,0.49334019167253235,0.8724555725015586,"[[7, 139], [62, 950]]"
PCA,8,Angle Embedding,1,3,3,2,1,No,Top half,tensor(0.8273),0.8717948717948718,0.9407114624505929,0.9049429657794678,0.4909036764307759,0.8719209003056716,"[[6, 140], [60, 952]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.8256),0.8708791208791209,0.9397233201581028,0.9039923954372624,0.4869849477502843,0.8710624482898645,"[[5, 141], [61, 951]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.8273),0.8711151736745887,0.941699604743083,0.9050332383665718,0.4879730900427744,0.8712787283792764,"[[5, 141], [59, 953]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.8264),0.8709972552607502,0.9407114624505929,0.9045130641330166,0.48747901889652934,0.8711705732893833,"[[5, 141], [60, 952]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.8100),0.8687150837988827,0.9219367588932806,0.8945349952061362,0.4780916671178732,0.869121439570991,"[[5, 141], [79, 933]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.8230),0.8698441796516957,0.9377470355731226,0.9025202092249167,0.4825721479235476,0.8700979459566325,"[[4, 142], [63, 949]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.8247),0.8700823421774931,0.9397233201581028,0.9035629453681709,0.4835602902160377,0.8703136967629395,"[[4, 142], [61, 951]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.8152),0.870817843866171,0.9258893280632411,0.8975095785440613,0.48691726677134656,0.8710477877009678,"[[7, 139], [75, 937]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.8195),0.8721037998146431,0.9298418972332015,0.9000478240076518,0.49231820889057337,0.8722312597486643,"[[8, 138], [71, 941]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.8230),0.8725761772853186,0.9337944664031621,0.9021479713603819,0.49429449347555365,0.8726651823754812,"[[8, 138], [67, 945]]"
PCA,8,Angle Embedding,2,15,2,9,1,No,Top half,tensor(0.8074),0.8690364826941066,0.9179841897233202,0.8928399807784719,0.4795400400671396,0.869437053651204,"[[6, 140], [83, 929]]"
